net,length_um
net21,59.6µm
net20,58.18µm
net6,53.585µm
net10,50.57µm
net7,46.52µm
net8,44.34µm
net4,41.26µm
net9,40.935µm
net5,36.7µm
_37_,32.28µm
_05_,31.64µm
_00_,27.24µm
_01_,25.92µm
_07_,25.02µm
net11,24.12µm
net3,23.53µm
_25_,22.88µm
_02_,18.44µm
_17_,16.84µm
net2,16.72µm
_16_,15.56µm
_11_,15.22µm
A[5],14.93µm
_12_,14.74µm
B[0],11.35µm
_09_,11.32µm
A[0],11µm
A[6],10.71µm
B[1],10.45µm
result[6],10.32µm
result[3],10.31µm
A[1],10.05µm
_22_,9.74µm
_26_,9.08µm
net1,9.06µm
_03_,9.04µm
net16,8.86µm
net18,8.7µm
net13,8.46µm
net17,8.46µm
ZF,8.39µm
_29_,8.06µm
A[2],8.01µm
_10_,7.84µm
B[2],7.59µm
OP,7.33µm
_31_,7.18µm
_36_,6.98µm
net15,6.7µm
_33_,5.84µm
result[0],5.41µm
net14,5.36µm
_20_,5.34µm
_21_,5.34µm
result[2],5.07µm
result[4],5.07µm
_27_,5.04µm
A[4],4.95µm
_15_,4.88µm
_32_,4.88µm
_28_,4.76µm
result[1],4.73µm
result[5],4.39µm
_08_,4.34µm
_34_,4.34µm
A[3],4.27µm
_24_,3.54µm
_35_,3.4µm
_23_,3.1µm
_13_,3.08µm
_18_,2.98µm
_14_,2.96µm
_06_,2.5µm
_30_,2.3µm
_04_,2.16µm
net12,2.04µm
_19_,1.72µm
net19,0.92µm
