Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VGND,li1,40.0200,38.0800,0.000001
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000001
FILLER_9_44,VGND,li1,28.5200,38.0800,0.000001
FILLER_9_33,VGND,li1,20.9300,38.0800,0.000001
FILLER_9_29,VGND,li1,19.7800,38.0800,0.000001
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000001
FILLER_9_15,VGND,li1,15.1800,38.0800,0.000001
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000001
FILLER_8_80,VGND,li1,42.5500,32.6400,0.000006
FILLER_8_74,VGND,li1,40.9400,32.6400,0.000006
FILLER_8_62,VGND,li1,36.8000,32.6400,0.000005
FILLER_8_53,VGND,li1,30.5900,32.6400,0.000004
FILLER_8_45,VGND,li1,28.0600,32.6400,0.000004
FILLER_8_35,VGND,li1,21.8500,32.6400,0.000004
FILLER_8_29,VGND,li1,20.2400,32.6400,0.000004
FILLER_8_18,VGND,li1,14.0300,32.6400,0.000005
FILLER_8_6,VGND,li1,11.0400,32.6400,0.000006
FILLER_7_71,VGND,li1,38.6400,32.6400,0.000005
FILLER_7_57,VGND,li1,32.4300,32.6400,0.000004
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000004
FILLER_7_47,VGND,li1,28.9800,32.6400,0.000004
FILLER_7_36,VGND,li1,22.3100,32.6400,0.000004
FILLER_7_32,VGND,li1,21.1600,32.6400,0.000004
FILLER_7_20,VGND,li1,17.4800,32.6400,0.000005
FILLER_7_11,VGND,li1,11.2700,32.6400,0.000006
FILLER_6_70,VGND,li1,38.1800,27.2000,0.000006
FILLER_6_54,VGND,li1,31.2800,27.2000,0.000005
FILLER_6_47,VGND,li1,28.0600,27.2000,0.000004
FILLER_6_36,VGND,li1,22.5400,27.2000,0.000004
FILLER_6_17,VGND,li1,13.8000,27.2000,0.000006
FILLER_6_8,VGND,li1,9.4300,27.2000,0.000007
FILLER_5_67,VGND,li1,36.8000,27.2000,0.000006
FILLER_5_57,VGND,li1,32.2000,27.2000,0.000005
FILLER_5_33,VGND,li1,22.5400,27.2000,0.000004
FILLER_5_22,VGND,li1,16.3300,27.2000,0.000006
FILLER_5_14,VGND,li1,13.8000,27.2000,0.000006
FILLER_4_80,VGND,li1,42.5500,21.7600,0.000007
FILLER_4_54,VGND,li1,30.5900,21.7600,0.000005
FILLER_4_48,VGND,li1,28.9800,21.7600,0.000005
FILLER_4_29,VGND,li1,19.5500,21.7600,0.000006
FILLER_4_19,VGND,li1,14.7200,21.7600,0.000007
FILLER_3_46,VGND,li1,26.9100,21.7600,0.000005
FILLER_3_28,VGND,li1,18.6300,21.7600,0.000006
FILLER_2_74,VGND,li1,40.4800,16.3200,0.000002
FILLER_2_62,VGND,li1,36.8000,16.3200,0.000002
FILLER_2_55,VGND,li1,31.0500,16.3200,0.000002
FILLER_2_49,VGND,li1,29.4400,16.3200,0.000002
FILLER_2_33,VGND,li1,20.9300,16.3200,0.000002
FILLER_2_29,VGND,li1,19.7800,16.3200,0.000002
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000002
FILLER_2_23,VGND,li1,17.0200,16.3200,0.000002
FILLER_2_9,VGND,li1,9.8900,16.3200,0.000003
FILLER_2_3,VGND,li1,7.3600,16.3200,0.000003
FILLER_1_69,VGND,li1,40.0200,16.3200,0.000002
FILLER_1_57,VGND,li1,34.5000,16.3200,0.000002
FILLER_1_54,VGND,li1,30.8200,16.3200,0.000002
FILLER_1_42,VGND,li1,27.6000,16.3200,0.000002
FILLER_1_30,VGND,li1,22.0800,16.3200,0.000002
FILLER_1_18,VGND,li1,16.5600,16.3200,0.000002
FILLER_1_6,VGND,li1,11.0400,16.3200,0.000003
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000000
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000000
FILLER_0_53,VGND,li1,30.5900,10.8800,0.000000
FILLER_0_41,VGND,li1,27.1400,10.8800,0.000000
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000000
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000000
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000000
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000000
fanout21,VGND,li1,41.4000,21.7600,0.000007
fanout20,VGND,li1,8.7400,16.3200,0.000003
output19,VGND,li1,24.8400,38.0800,0.000001
output18,VGND,li1,41.8600,32.6400,0.000006
output17,VGND,li1,41.8600,27.2000,0.000006
output16,VGND,li1,40.0200,32.6400,0.000005
output15,VGND,li1,7.8200,21.7600,0.000007
output14,VGND,li1,7.8200,27.2000,0.000007
output13,VGND,li1,7.8200,32.6400,0.000006
output12,VGND,li1,9.6600,32.6400,0.000006
input11,VGND,li1,42.0900,27.2000,0.000006
input10,VGND,li1,9.6600,27.2000,0.000007
input9,VGND,li1,38.1800,27.2000,0.000006
input8,VGND,li1,11.2700,27.2000,0.000006
input7,VGND,li1,35.8800,21.7600,0.000007
input6,VGND,li1,34.0400,21.7600,0.000006
input5,VGND,li1,42.0900,21.7600,0.000007
input4,VGND,li1,42.0900,16.3200,0.000002
input3,VGND,li1,7.5900,16.3200,0.000003
input2,VGND,li1,7.5900,32.6400,0.000006
input1,VGND,li1,21.8500,38.0800,0.000001
TAP_TAPCELL_ROW_9_31,VGND,li1,31.5100,37.7880,0.000001
TAP_TAPCELL_ROW_9_30,VGND,li1,18.6300,37.7880,0.000001
TAP_TAPCELL_ROW_8_29,VGND,li1,18.6300,32.9310,0.000004
TAP_TAPCELL_ROW_7_28,VGND,li1,31.5100,32.3480,0.000004
TAP_TAPCELL_ROW_6_27,VGND,li1,18.6300,27.4910,0.000005
TAP_TAPCELL_ROW_5_26,VGND,li1,31.5100,26.9080,0.000005
TAP_TAPCELL_ROW_4_25,VGND,li1,18.6300,22.0510,0.000006
TAP_TAPCELL_ROW_3_24,VGND,li1,31.5100,21.4680,0.000006
TAP_TAPCELL_ROW_2_23,VGND,li1,18.6300,16.6110,0.000002
TAP_TAPCELL_ROW_1_22,VGND,li1,31.5100,16.0280,0.000002
TAP_TAPCELL_ROW_0_21,VGND,li1,31.5100,11.1710,0.000000
TAP_TAPCELL_ROW_0_20,VGND,li1,18.6300,11.1710,0.000000
PHY_EDGE_ROW_9_Left_19,VGND,li1,6.2100,38.0800,0.000001
PHY_EDGE_ROW_8_Left_18,VGND,li1,6.2100,32.6400,0.000006
PHY_EDGE_ROW_7_Left_17,VGND,li1,6.2100,32.6400,0.000006
PHY_EDGE_ROW_6_Left_16,VGND,li1,6.2100,27.2000,0.000007
PHY_EDGE_ROW_5_Left_15,VGND,li1,6.2100,27.2000,0.000007
PHY_EDGE_ROW_4_Left_14,VGND,li1,6.2100,21.7600,0.000007
PHY_EDGE_ROW_3_Left_13,VGND,li1,6.2100,21.7600,0.000007
PHY_EDGE_ROW_2_Left_12,VGND,li1,6.2100,16.3200,0.000003
PHY_EDGE_ROW_1_Left_11,VGND,li1,6.2100,16.3200,0.000003
PHY_EDGE_ROW_0_Left_10,VGND,li1,6.2100,10.8800,0.000000
PHY_EDGE_ROW_9_Right_9,VGND,li1,43.4700,38.0800,0.000001
PHY_EDGE_ROW_8_Right_8,VGND,li1,43.4700,32.6400,0.000006
PHY_EDGE_ROW_7_Right_7,VGND,li1,43.4700,32.6400,0.000006
PHY_EDGE_ROW_6_Right_6,VGND,li1,43.4700,27.2000,0.000006
PHY_EDGE_ROW_5_Right_5,VGND,li1,43.4700,27.2000,0.000006
PHY_EDGE_ROW_4_Right_4,VGND,li1,43.4700,21.7600,0.000007
PHY_EDGE_ROW_3_Right_3,VGND,li1,43.4700,21.7600,0.000007
PHY_EDGE_ROW_2_Right_2,VGND,li1,43.4700,16.3200,0.000002
PHY_EDGE_ROW_1_Right_1,VGND,li1,43.4700,16.3200,0.000002
PHY_EDGE_ROW_0_Right_0,VGND,li1,43.4700,10.8800,0.000000
